"date_str","blm","alm","blulm","total"
"2013-01-01",0,0,0,0
"2013-01-02",0,0,0,0
"2013-01-03",0,0,0,0
"2013-01-04",0,0,0,0
"2013-01-05",0,0,0,0
"2013-01-06",0,0,0,0
"2013-01-07",0,0,0,0
"2013-01-08",0,0,0,0
"2013-01-09",0,0,0,0
"2013-01-10",0,0,0,0
"2013-01-11",0,0,0,0
"2013-01-12",0,0,0,0
"2013-01-13",0,0,0,0
"2013-01-14",0,0,0,0
"2013-01-15",0,0,0,0
"2013-01-16",0,0,0,0
"2013-01-17",0,0,0,0
"2013-01-18",0,0,0,0
"2013-01-19",0,0,0,0
"2013-01-20",0,0,0,0
"2013-01-21",0,0,0,0
"2013-01-22",0,0,0,0
"2013-01-23",0,0,0,0
"2013-01-24",0,0,0,0
"2013-01-25",0,0,0,0
"2013-01-26",0,0,0,0
"2013-01-27",0,0,0,0
"2013-01-28",1,0,0,1
"2013-01-29",0,0,0,0
"2013-01-30",0,0,0,0
"2013-01-31",0,0,0,0
"2013-02-01",0,0,0,0
"2013-02-02",0,0,0,0
"2013-02-03",0,0,0,0
"2013-02-04",0,0,0,0
"2013-02-05",0,0,0,0
"2013-02-06",0,1,0,1
"2013-02-07",0,0,0,0
"2013-02-08",0,0,0,0
"2013-02-09",0,0,0,0
"2013-02-10",0,0,0,0
"2013-02-11",0,0,0,0
"2013-02-12",0,0,0,0
"2013-02-13",0,0,0,0
"2013-02-14",0,0,0,0
"2013-02-15",0,0,0,0
"2013-02-16",0,0,0,0
"2013-02-17",0,0,0,0
"2013-02-18",0,0,0,0
"2013-02-19",0,0,0,0
"2013-02-20",0,0,0,0
"2013-02-21",0,0,0,0
"2013-02-22",0,0,0,0
"2013-02-23",0,0,0,0
"2013-02-24",0,0,0,0
"2013-02-25",0,0,0,0
"2013-02-26",0,0,0,0
"2013-02-27",0,0,0,0
"2013-02-28",0,0,0,0
"2013-03-01",0,0,0,0
"2013-03-02",0,0,0,0
"2013-03-03",0,0,0,0
"2013-03-04",0,0,0,0
"2013-03-05",0,0,0,0
"2013-03-06",2,0,0,2
"2013-03-07",0,0,0,0
"2013-03-08",0,0,0,0
"2013-03-09",0,0,0,0
"2013-03-10",0,0,0,0
"2013-03-11",0,0,0,0
"2013-03-12",0,0,0,0
"2013-03-13",0,0,0,0
"2013-03-14",1,0,0,1
"2013-03-15",0,0,0,0
"2013-03-16",0,0,0,0
"2013-03-17",0,0,0,0
"2013-03-18",0,0,0,0
"2013-03-19",0,0,0,0
"2013-03-20",0,0,0,0
"2013-03-21",0,0,0,0
"2013-03-22",1,0,0,1
"2013-03-23",5,0,0,5
"2013-03-24",0,0,0,0
"2013-03-25",12,0,0,12
"2013-03-26",0,0,0,0
"2013-03-27",1,0,0,1
"2013-03-28",0,0,0,0
"2013-03-29",0,0,0,0
"2013-03-30",0,0,0,0
"2013-03-31",0,0,0,0
"2013-04-01",0,0,0,0
"2013-04-02",0,0,0,0
"2013-04-03",0,0,0,0
"2013-04-04",0,0,0,0
"2013-04-05",0,0,0,0
"2013-04-06",0,0,0,0
"2013-04-07",0,0,0,0
"2013-04-08",1,0,0,1
"2013-04-09",0,0,0,0
"2013-04-10",0,0,0,0
"2013-04-11",0,0,0,0
"2013-04-12",0,0,0,0
"2013-04-13",0,0,0,0
"2013-04-14",0,0,0,0
"2013-04-15",0,0,0,0
"2013-04-16",0,0,0,0
"2013-04-17",0,0,0,0
"2013-04-18",0,0,0,0
"2013-04-19",0,0,0,0
"2013-04-20",0,0,0,0
"2013-04-21",0,0,0,0
"2013-04-22",0,0,0,0
"2013-04-23",0,0,0,0
"2013-04-24",0,0,0,0
"2013-04-25",0,0,0,0
"2013-04-26",0,1,0,1
"2013-04-27",0,0,0,0
"2013-04-28",0,0,0,0
"2013-04-29",0,0,0,0
"2013-04-30",0,0,0,0
"2013-05-01",0,0,0,0
"2013-05-02",0,0,0,0
"2013-05-03",0,0,0,0
"2013-05-04",0,0,0,0
"2013-05-05",0,0,0,0
"2013-05-06",0,0,0,0
"2013-05-07",0,0,0,0
"2013-05-08",0,0,0,0
"2013-05-09",0,0,0,0
"2013-05-10",0,0,0,0
"2013-05-11",0,0,0,0
"2013-05-12",0,0,0,0
"2013-05-13",0,0,0,0
"2013-05-14",0,0,0,0
"2013-05-15",0,0,0,0
"2013-05-16",0,0,0,0
"2013-05-17",0,0,0,0
"2013-05-18",0,0,0,0
"2013-05-19",0,0,0,0
"2013-05-20",0,0,0,0
"2013-05-21",0,0,0,0
"2013-05-22",0,0,0,0
"2013-05-23",0,0,0,0
"2013-05-24",0,0,0,0
"2013-05-25",0,0,0,0
"2013-05-26",0,0,0,0
"2013-05-27",0,0,0,0
"2013-05-28",0,0,0,0
"2013-05-29",0,0,0,0
"2013-05-30",0,0,0,0
"2013-05-31",0,0,0,0
"2013-06-01",0,0,0,0
"2013-06-02",0,0,0,0
"2013-06-03",0,0,0,0
"2013-06-04",0,0,0,0
"2013-06-05",0,0,0,0
"2013-06-06",0,0,0,0
"2013-06-07",0,0,0,0
"2013-06-08",0,0,0,0
"2013-06-09",0,0,0,0
"2013-06-10",0,0,0,0
"2013-06-11",0,0,0,0
"2013-06-12",0,0,0,0
"2013-06-13",0,0,0,0
"2013-06-14",0,0,0,0
"2013-06-15",0,0,0,0
"2013-06-16",0,0,0,0
"2013-06-17",0,0,0,0
"2013-06-18",0,0,0,0
"2013-06-19",0,1,0,1
"2013-06-20",0,0,0,0
"2013-06-21",0,0,0,0
"2013-06-22",0,0,0,0
"2013-06-23",0,0,0,0
"2013-06-24",1,0,0,1
"2013-06-25",0,0,0,0
"2013-06-26",0,0,0,0
"2013-06-27",0,0,0,0
"2013-06-28",0,0,0,0
"2013-06-29",0,0,0,0
"2013-06-30",0,0,0,0
"2013-07-01",0,0,0,0
"2013-07-02",0,0,0,0
"2013-07-03",0,0,0,0
"2013-07-04",0,0,0,0
"2013-07-05",0,0,0,0
"2013-07-06",0,0,0,0
"2013-07-07",2,0,0,2
"2013-07-08",0,0,0,0
"2013-07-09",0,0,0,0
"2013-07-10",2,0,0,2
"2013-07-11",3,1,0,3
"2013-07-12",0,0,0,0
"2013-07-13",0,0,0,0
"2013-07-14",17,4,0,21
"2013-07-15",9,0,0,9
"2013-07-16",30,0,0,30
"2013-07-17",24,0,0,24
"2013-07-18",125,0,0,125
"2013-07-19",67,1,0,67
"2013-07-20",78,1,0,78
"2013-07-21",24,0,0,24
"2013-07-22",26,0,0,26
"2013-07-23",18,0,0,18
"2013-07-24",18,0,0,18
